code_article;libelle;prix_unitaire;libelle_generique;variantes_erronees
GAS;GASOIL;618,00;OUI;GAZ|GAZOIL|GASOILE|GAZOILE
SUP;SUPER;499,00;OUI;SUPERE|ESSENCE|SUUPER
